"cfi","text"
"epubcfi(/6/10!/4/2[pgepubid00005]/560)","[One calls within, ‘Juliet’.]"
"epubcfi(/6/10!/4/2[pgepubid00005]/562)","NURSE.Anon, anon!Come let’s away, the strangers all are gone."
"epubcfi(/6/10!/4/2[pgepubid00005]/564)","[Exeunt.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/4)","Enter Chorus."
"epubcfi(/6/12!/4/2[pgepubid00011]/6)","CHORUS.Now old desire doth in his deathbed lie,And young affection gapes to be his heir;That fair for which love groan’d for and would die,With tender Juliet match’d, is now not fair.Now Romeo is belov’d, and loves again,Alike bewitched by the charm of looks;But to his foe suppos’d he must complain,And she steal love’s sweet bait from fearful hooks:Being held a foe, he may not have accessTo breathe such vows as lovers use to swear;And she as much in love, her means much lessTo meet her new beloved anywhere.But passion lends them power, time means, to meet,Tempering extremities with extreme sweet."
"epubcfi(/6/12!/4/2[pgepubid00011]/8)","[Exit.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/12)","Enter Romeo."
"epubcfi(/6/12!/4/2[pgepubid00011]/14)","ROMEO.Can I go forward when my heart is here?Turn back, dull earth, and find thy centre out."
"epubcfi(/6/12!/4/2[pgepubid00011]/16)","[He climbs the wall and leaps down within it.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/18)","Enter Benvolio andMercutio."
"epubcfi(/6/12!/4/2[pgepubid00011]/20)","BENVOLIO.Romeo! My cousin Romeo! Romeo!"
"epubcfi(/6/12!/4/2[pgepubid00011]/22)","MERCUTIO.He is wise,And on my life hath stol’n him home to bed."
"epubcfi(/6/12!/4/2[pgepubid00011]/24)","BENVOLIO.He ran this way, and leap’d this orchard wall:Call, good Mercutio."
"epubcfi(/6/12!/4/2[pgepubid00011]/26)","MERCUTIO.Nay, I’ll conjure too.Romeo! Humours! Madman! Passion! Lover!Appear thou in the likeness of a sigh,Speak but one rhyme, and I am satisfied;Cry but ‘Ah me!’ Pronounce but Love and dove;Speak to my gossip Venus one fair word,One nickname for her purblind son and heir,Young Abraham Cupid, he that shot so trimWhen King Cophetua lov’d the beggar-maid.He heareth not, he stirreth not, he moveth not;The ape is dead, and I must conjure him.I conjure thee by Rosaline’s bright eyes,By her high forehead and her scarlet lip,By her fine foot, straight leg, and quivering thigh,And the demesnes that there adjacent lie,That in thy likeness thou appear to us."
"epubcfi(/6/12!/4/2[pgepubid00011]/28)","BENVOLIO.An if he hear thee, thou wilt anger him."
"epubcfi(/6/12!/4/2[pgepubid00011]/30)","MERCUTIO.This cannot anger him. ’Twould anger himTo raise a spirit in his mistress’ circle,Of some strange nature, letting it there standTill she had laid it, and conjur’d it down;That were some spite. My invocationIs fair and honest, and, in his mistress’ name,I conjure only but to raise up him."
"epubcfi(/6/12!/4/2[pgepubid00011]/32)","BENVOLIO.Come, he hath hid himself among these treesTo be consorted with the humorous night.Blind is his love, and best befits the dark."
"epubcfi(/6/12!/4/2[pgepubid00011]/34)","MERCUTIO.If love be blind, love cannot hit the mark.Now will he sit under a medlar tree,And wish his mistress were that kind of fruitAs maids call medlars when they laugh alone.O Romeo, that she were, O that she wereAn open-arse and thou a poperin pear!Romeo, good night. I’ll to my truckle-bed.This field-bed is too cold for me to sleep.Come, shall we go?"
"epubcfi(/6/12!/4/2[pgepubid00011]/36)","BENVOLIO.Go then; for ’tis in vainTo seek him here that means not to be found."
"epubcfi(/6/12!/4/2[pgepubid00011]/38)","[Exeunt.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/42)","Enter Romeo."
"epubcfi(/6/12!/4/2[pgepubid00011]/44)","ROMEO.He jests at scars that never felt a wound."
"epubcfi(/6/12!/4/2[pgepubid00011]/46)","Juliet appears above at a window."
"epubcfi(/6/12!/4/2[pgepubid00011]/48)","But soft, what light through yonder window breaks?It is the east, and Juliet is the sun!Arise fair sun and kill the envious moon,Who is already sick and pale with grief,That thou her maid art far more fair than she.Be not her maid since she is envious;Her vestal livery is but sick and green,And none but fools do wear it; cast it off.It is my lady, O it is my love!O, that she knew she were!She speaks, yet she says nothing. What of that?Her eye discourses, I will answer it.I am too bold, ’tis not to me she speaks.Two of the fairest stars in all the heaven,Having some business, do entreat her eyesTo twinkle in their spheres till they return.What if her eyes were there, they in her head?The brightness of her cheek would shame those stars,As daylight doth a lamp; her eyes in heavenWould through the airy region stream so brightThat birds would sing and think it were not night.See how she leans her cheek upon her hand.O that I were a glove upon that hand,That I might touch that cheek."
"epubcfi(/6/12!/4/2[pgepubid00011]/50)","JULIET.Ay me."
"epubcfi(/6/12!/4/2[pgepubid00011]/52)","ROMEO.She speaks.O speak again bright angel, for thou artAs glorious to this night, being o’er my head,As is a winged messenger of heavenUnto the white-upturned wondering eyesOf mortals that fall back to gaze on himWhen he bestrides the lazy-puffing cloudsAnd sails upon the bosom of the air."
"epubcfi(/6/12!/4/2[pgepubid00011]/54)","JULIET.O Romeo, Romeo, wherefore art thou Romeo?Deny thy father and refuse thy name.Or if thou wilt not, be but sworn my love,And I’ll no longer be a Capulet."
"epubcfi(/6/12!/4/2[pgepubid00011]/56)","ROMEO.[Aside.] Shall I hear more, or shall I speak at this?"
"epubcfi(/6/12!/4/2[pgepubid00011]/58)","JULIET.’Tis but thy name that is my enemy;Thou art thyself, though not a Montague.What’s Montague? It is nor hand nor foot,Nor arm, nor face, nor any other partBelonging to a man. O be some other name.What’s in a name? That which we call a roseBy any other name would smell as sweet;So Romeo would, were he not Romeo call’d,Retain that dear perfection which he owesWithout that title. Romeo, doff thy name,And for thy name, which is no part of thee,Take all myself."
"epubcfi(/6/12!/4/2[pgepubid00011]/60)","ROMEO.I take thee at thy word.Call me but love, and I’ll be new baptis’d;Henceforth I never will be Romeo."
"epubcfi(/6/12!/4/2[pgepubid00011]/62)","JULIET.What man art thou that, thus bescreen’d in nightSo stumblest on my counsel?"
"epubcfi(/6/12!/4/2[pgepubid00011]/64)","ROMEO.By a nameI know not how to tell thee who I am:My name, dear saint, is hateful to myself,Because it is an enemy to thee.Had I it written, I would tear the word."
"epubcfi(/6/12!/4/2[pgepubid00011]/66)","JULIET.My ears have yet not drunk a hundred wordsOf thy tongue’s utterance, yet I know the sound.Art thou not Romeo, and a Montague?"
"epubcfi(/6/12!/4/2[pgepubid00011]/68)","ROMEO.Neither, fair maid, if either thee dislike."
"epubcfi(/6/12!/4/2[pgepubid00011]/70)","JULIET.How cam’st thou hither, tell me, and wherefore?The orchard walls are high and hard to climb,And the place death, considering who thou art,If any of my kinsmen find thee here."
"epubcfi(/6/12!/4/2[pgepubid00011]/72)","ROMEO.With love’s light wings did I o’erperch these walls,For stony limits cannot hold love out,And what love can do, that dares love attempt:Therefore thy kinsmen are no stop to me."
"epubcfi(/6/12!/4/2[pgepubid00011]/74)","JULIET.If they do see thee, they will murder thee."
"epubcfi(/6/12!/4/2[pgepubid00011]/76)","ROMEO.Alack, there lies more peril in thine eyeThan twenty of their swords. Look thou but sweet,And I am proof against their enmity."
"epubcfi(/6/12!/4/2[pgepubid00011]/78)","JULIET.I would not for the world they saw thee here."
"epubcfi(/6/12!/4/2[pgepubid00011]/80)","ROMEO.I have night’s cloak to hide me from their eyes,And but thou love me, let them find me here.My life were better ended by their hateThan death prorogued, wanting of thy love."
"epubcfi(/6/12!/4/2[pgepubid00011]/82)","JULIET.By whose direction found’st thou out this place?"
"epubcfi(/6/12!/4/2[pgepubid00011]/84)","ROMEO.By love, that first did prompt me to enquire;He lent me counsel, and I lent him eyes.I am no pilot; yet wert thou as farAs that vast shore wash’d with the farthest sea,I should adventure for such merchandise."
"epubcfi(/6/12!/4/2[pgepubid00011]/86)","JULIET.Thou knowest the mask of night is on my face,Else would a maiden blush bepaint my cheekFor that which thou hast heard me speak tonight.Fain would I dwell on form, fain, fain denyWhat I have spoke; but farewell compliment.Dost thou love me? I know thou wilt say Ay,And I will take thy word. Yet, if thou swear’st,Thou mayst prove false. At lovers’ perjuries,They say Jove laughs. O gentle Romeo,If thou dost love, pronounce it faithfully.Or if thou thinkest I am too quickly won,I’ll frown and be perverse, and say thee nay,So thou wilt woo. But else, not for the world.In truth, fair Montague, I am too fond;And therefore thou mayst think my ’haviour light:But trust me, gentleman, I’ll prove more trueThan those that have more cunning to be strange.I should have been more strange, I must confess,But that thou overheard’st, ere I was ’ware,My true-love passion; therefore pardon me,And not impute this yielding to light love,Which the dark night hath so discovered."
"epubcfi(/6/12!/4/2[pgepubid00011]/88)","ROMEO.Lady, by yonder blessed moon I vow,That tips with silver all these fruit-tree tops,—"
"epubcfi(/6/12!/4/2[pgepubid00011]/90)","JULIET.O swear not by the moon, th’inconstant moon,That monthly changes in her circled orb,Lest that thy love prove likewise variable."
"epubcfi(/6/12!/4/2[pgepubid00011]/92)","ROMEO.What shall I swear by?"
"epubcfi(/6/12!/4/2[pgepubid00011]/94)","JULIET.Do not swear at all.Or if thou wilt, swear by thy gracious self,Which is the god of my idolatry,And I’ll believe thee."
"epubcfi(/6/12!/4/2[pgepubid00011]/96)","ROMEO.If my heart’s dear love,—"
"epubcfi(/6/12!/4/2[pgepubid00011]/98)","JULIET.Well, do not swear. Although I joy in thee,I have no joy of this contract tonight;It is too rash, too unadvis’d, too sudden,Too like the lightning, which doth cease to beEre one can say “It lightens.” Sweet, good night.This bud of love, by summer’s ripening breath,May prove a beauteous flower when next we meet.Good night, good night. As sweet repose and restCome to thy heart as that within my breast."
"epubcfi(/6/12!/4/2[pgepubid00011]/100)","ROMEO.O wilt thou leave me so unsatisfied?"
"epubcfi(/6/12!/4/2[pgepubid00011]/102)","JULIET.What satisfaction canst thou have tonight?"
"epubcfi(/6/12!/4/2[pgepubid00011]/104)","ROMEO.Th’exchange of thy love’s faithful vow for mine."
"epubcfi(/6/12!/4/2[pgepubid00011]/106)","JULIET.I gave thee mine before thou didst request it;And yet I would it were to give again."
"epubcfi(/6/12!/4/2[pgepubid00011]/108)","ROMEO.Would’st thou withdraw it? For what purpose, love?"
"epubcfi(/6/12!/4/2[pgepubid00011]/110)","JULIET.But to be frank and give it thee again.And yet I wish but for the thing I have;My bounty is as boundless as the sea,My love as deep; the more I give to thee,The more I have, for both are infinite.I hear some noise within. Dear love, adieu.[Nurse calls within.]Anon, good Nurse!—Sweet Montague be true.Stay but a little, I will come again."
"epubcfi(/6/12!/4/2[pgepubid00011]/112)","[Exit.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/114)","ROMEO.O blessed, blessed night. I am afeard,Being in night, all this is but a dream,Too flattering sweet to be substantial."
"epubcfi(/6/12!/4/2[pgepubid00011]/116)","Enter Juliet above."
"epubcfi(/6/12!/4/2[pgepubid00011]/118)","JULIET.Three words, dear Romeo, and good night indeed.If that thy bent of love be honourable,Thy purpose marriage, send me word tomorrow,By one that I’ll procure to come to thee,Where and what time thou wilt perform the rite,And all my fortunes at thy foot I’ll layAnd follow thee my lord throughout the world."
"epubcfi(/6/12!/4/2[pgepubid00011]/120)","NURSE.[Within.] Madam."
"epubcfi(/6/12!/4/2[pgepubid00011]/122)","JULIET.I come, anon.— But if thou meanest not well,I do beseech thee,—"
"epubcfi(/6/12!/4/2[pgepubid00011]/124)","NURSE.[Within.] Madam."
"epubcfi(/6/12!/4/2[pgepubid00011]/126)","JULIET.By and by I come—To cease thy strife and leave me to my grief.Tomorrow will I send."
"epubcfi(/6/12!/4/2[pgepubid00011]/128)","ROMEO.So thrive my soul,—"
"epubcfi(/6/12!/4/2[pgepubid00011]/130)","JULIET.A thousand times good night."
"epubcfi(/6/12!/4/2[pgepubid00011]/132)","[Exit.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/134)","ROMEO.A thousand times the worse, to want thy light.Love goes toward love as schoolboys from their books,But love from love, towards school with heavy looks."
"epubcfi(/6/12!/4/2[pgepubid00011]/136)","[Retiring slowly.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/138)","Re-enter Juliet, above."
"epubcfi(/6/12!/4/2[pgepubid00011]/140)","JULIET.Hist! Romeo, hist! O for a falconer’s voiceTo lure this tassel-gentle back again.Bondage is hoarse and may not speak aloud,Else would I tear the cave where Echo lies,And make her airy tongue more hoarse than mineWith repetition of my Romeo’s name."
"epubcfi(/6/12!/4/2[pgepubid00011]/142)","ROMEO.It is my soul that calls upon my name.How silver-sweet sound lovers’ tongues by night,Like softest music to attending ears."
"epubcfi(/6/12!/4/2[pgepubid00011]/144)","JULIET.Romeo."
"epubcfi(/6/12!/4/2[pgepubid00011]/146)","ROMEO.My nyas?"
"epubcfi(/6/12!/4/2[pgepubid00011]/148)","JULIET.What o’clock tomorrowShall I send to thee?"
"epubcfi(/6/12!/4/2[pgepubid00011]/150)","ROMEO.By the hour of nine."
"epubcfi(/6/12!/4/2[pgepubid00011]/152)","JULIET.I will not fail. ’Tis twenty years till then.I have forgot why I did call thee back."
"epubcfi(/6/12!/4/2[pgepubid00011]/154)","ROMEO.Let me stand here till thou remember it."
"epubcfi(/6/12!/4/2[pgepubid00011]/156)","JULIET.I shall forget, to have thee still stand there,Remembering how I love thy company."
"epubcfi(/6/12!/4/2[pgepubid00011]/158)","ROMEO.And I’ll still stay, to have thee still forget,Forgetting any other home but this."
"epubcfi(/6/12!/4/2[pgepubid00011]/160)","JULIET.’Tis almost morning; I would have thee gone,And yet no farther than a wanton’s bird,That lets it hop a little from her hand,Like a poor prisoner in his twisted gyves,And with a silk thread plucks it back again,So loving-jealous of his liberty."
"epubcfi(/6/12!/4/2[pgepubid00011]/162)","ROMEO.I would I were thy bird."
"epubcfi(/6/12!/4/2[pgepubid00011]/164)","JULIET.Sweet, so would I:Yet I should kill thee with much cherishing.Good night, good night. Parting is such sweet sorrowThat I shall say good night till it be morrow."
"epubcfi(/6/12!/4/2[pgepubid00011]/166)","[Exit.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/168)","ROMEO.Sleep dwell upon thine eyes, peace in thy breast.Would I were sleep and peace, so sweet to rest.Hence will I to my ghostly Sire’s cell,His help to crave and my dear hap to tell."
"epubcfi(/6/12!/4/2[pgepubid00011]/170)","[Exit.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/174)","Enter Friar Lawrencewith a basket."
"epubcfi(/6/12!/4/2[pgepubid00011]/176)","FRIAR LAWRENCE.The grey-ey’d morn smiles on the frowning night,Chequering the eastern clouds with streaks of light;And fleckled darkness like a drunkard reelsFrom forth day’s pathway, made by Titan’s fiery wheelsNow, ere the sun advance his burning eye,The day to cheer, and night’s dank dew to dry,I must upfill this osier cage of oursWith baleful weeds and precious-juiced flowers.The earth that’s nature’s mother, is her tomb;What is her burying grave, that is her womb:And from her womb children of divers kindWe sucking on her natural bosom find.Many for many virtues excellent,None but for some, and yet all different.O, mickle is the powerful grace that liesIn plants, herbs, stones, and their true qualities.For naught so vile that on the earth doth liveBut to the earth some special good doth give;Nor aught so good but, strain’d from that fair use,Revolts from true birth, stumbling on abuse.Virtue itself turns vice being misapplied,And vice sometime’s by action dignified."
"epubcfi(/6/12!/4/2[pgepubid00011]/178)","Enter Romeo."
"epubcfi(/6/12!/4/2[pgepubid00011]/180)","Within the infant rind of this weak flowerPoison hath residence, and medicine power:For this, being smelt, with that part cheers each part;Being tasted, slays all senses with the heart.Two such opposed kings encamp them stillIn man as well as herbs,—grace and rude will;And where the worser is predominant,Full soon the canker death eats up that plant."
"epubcfi(/6/12!/4/2[pgepubid00011]/182)","ROMEO.Good morrow, father."
"epubcfi(/6/12!/4/2[pgepubid00011]/184)","FRIAR LAWRENCE.Benedicite!What early tongue so sweet saluteth me?Young son, it argues a distemper’d headSo soon to bid good morrow to thy bed.Care keeps his watch in every old man’s eye,And where care lodges sleep will never lie;But where unbruised youth with unstuff’d brainDoth couch his limbs, there golden sleep doth reign.Therefore thy earliness doth me assureThou art uprous’d with some distemperature;Or if not so, then here I hit it right,Our Romeo hath not been in bed tonight."
"epubcfi(/6/12!/4/2[pgepubid00011]/186)","ROMEO.That last is true; the sweeter rest was mine."
"epubcfi(/6/12!/4/2[pgepubid00011]/188)","FRIAR LAWRENCE.God pardon sin. Wast thou with Rosaline?"
"epubcfi(/6/12!/4/2[pgepubid00011]/190)","ROMEO.With Rosaline, my ghostly father? No.I have forgot that name, and that name’s woe."
"epubcfi(/6/12!/4/2[pgepubid00011]/192)","FRIAR LAWRENCE.That’s my good son. But where hast thou been then?"
"epubcfi(/6/12!/4/2[pgepubid00011]/194)","ROMEO.I’ll tell thee ere thou ask it me again.I have been feasting with mine enemy,Where on a sudden one hath wounded meThat’s by me wounded. Both our remediesWithin thy help and holy physic lies.I bear no hatred, blessed man; for lo,My intercession likewise steads my foe."
"epubcfi(/6/12!/4/2[pgepubid00011]/196)","FRIAR LAWRENCE.Be plain, good son, and homely in thy drift;Riddling confession finds but riddling shrift."
"epubcfi(/6/12!/4/2[pgepubid00011]/198)","ROMEO.Then plainly know my heart’s dear love is setOn the fair daughter of rich Capulet.As mine on hers, so hers is set on mine;And all combin’d, save what thou must combineBy holy marriage. When, and where, and howWe met, we woo’d, and made exchange of vow,I’ll tell thee as we pass; but this I pray,That thou consent to marry us today."
"epubcfi(/6/12!/4/2[pgepubid00011]/200)","FRIAR LAWRENCE.Holy Saint Francis! What a change is here!Is Rosaline, that thou didst love so dear,So soon forsaken? Young men’s love then liesNot truly in their hearts, but in their eyes.Jesu Maria, what a deal of brineHath wash’d thy sallow cheeks for Rosaline!How much salt water thrown away in waste,To season love, that of it doth not taste.The sun not yet thy sighs from heaven clears,Thy old groans yet ring in mine ancient ears.Lo here upon thy cheek the stain doth sitOf an old tear that is not wash’d off yet.If ere thou wast thyself, and these woes thine,Thou and these woes were all for Rosaline,And art thou chang’d? Pronounce this sentence then,Women may fall, when there’s no strength in men."
"epubcfi(/6/12!/4/2[pgepubid00011]/202)","ROMEO.Thou chidd’st me oft for loving Rosaline."
"epubcfi(/6/12!/4/2[pgepubid00011]/204)","FRIAR LAWRENCE.For doting, not for loving, pupil mine."
"epubcfi(/6/12!/4/2[pgepubid00011]/206)","ROMEO.And bad’st me bury love."
"epubcfi(/6/12!/4/2[pgepubid00011]/208)","FRIAR LAWRENCE.Not in a graveTo lay one in, another out to have."
"epubcfi(/6/12!/4/2[pgepubid00011]/210)","ROMEO.I pray thee chide me not, her I love nowDoth grace for grace and love for love allow.The other did not so."
"epubcfi(/6/12!/4/2[pgepubid00011]/212)","FRIAR LAWRENCE.O, she knew wellThy love did read by rote, that could not spell.But come young waverer, come go with me,In one respect I’ll thy assistant be;For this alliance may so happy prove,To turn your households’ rancour to pure love."
"epubcfi(/6/12!/4/2[pgepubid00011]/214)","ROMEO.O let us hence; I stand on sudden haste."
"epubcfi(/6/12!/4/2[pgepubid00011]/216)","FRIAR LAWRENCE.Wisely and slow; they stumble that run fast."
"epubcfi(/6/12!/4/2[pgepubid00011]/218)","[Exeunt.]"
"epubcfi(/6/12!/4/2[pgepubid00011]/222)","Enter Benvolio andMercutio."
"epubcfi(/6/12!/4/2[pgepubid00011]/224)","MERCUTIO.Where the devil should this Romeo be? Came he not home tonight?"
"epubcfi(/6/12!/4/2[pgepubid00011]/226)","BENVOLIO.Not to his father’s; I spoke with his man."
"epubcfi(/6/12!/4/2[pgepubid00011]/228)","MERCUTIO.Why, that same pale hard-hearted wench, that Rosaline, torments him so that hewill sure run mad."
"epubcfi(/6/12!/4/2[pgepubid00011]/230)","BENVOLIO.Tybalt, the kinsman to old Capulet, hath sent a letter to his father’shouse."
"epubcfi(/6/12!/4/2[pgepubid00011]/232)","MERCUTIO.A challenge, on my life."
"epubcfi(/6/12!/4/2[pgepubid00011]/234)","BENVOLIO.Romeo will answer it."
"epubcfi(/6/12!/4/2[pgepubid00011]/236)","MERCUTIO.Any man that can write may answer a letter."
"epubcfi(/6/12!/4/2[pgepubid00011]/238)","BENVOLIO.Nay, he will answer the letter’s master, how hedares, being dared."
"epubcfi(/6/12!/4/2[pgepubid00011]/240)","MERCUTIO.Alas poor Romeo, he is already dead, stabbed with a white wench’s blackeye; run through the ear with a love song, the very pin of his heart cleft withthe blind bow-boy’s butt-shaft. And is he a man to encounter Tybalt?"
"epubcfi(/6/12!/4/2[pgepubid00011]/242)","BENVOLIO.Why, what is Tybalt?"
"epubcfi(/6/12!/4/2[pgepubid00011]/244)","MERCUTIO.More than Prince of cats. O, he’s the courageous captain of compliments.He fights as you sing prick-song, keeps time, distance, and proportion. Herests his minim rest, one, two, and the third in your bosom: the very butcherof a silk button, a duellist, a duellist; a gentleman of the very first house,of the first and second cause. Ah, the immortal passado, the punto reverso, thehay."
"epubcfi(/6/12!/4/2[pgepubid00011]/246)","BENVOLIO.The what?"
"epubcfi(/6/12!/4/2[pgepubid00011]/248)","MERCUTIO.The pox of such antic lisping, affecting phantasies; these new tuners ofaccent. By Jesu, a very good blade, a very tall man, a very good whore. Why, isnot this a lamentable thing, grandsire, that we should be thus afflicted withthese strange flies, these fashion-mongers, these pardon-me’s, who standso much on the new form that they cannot sit at ease on the old bench? O theirbones, their bones!"
"epubcfi(/6/12!/4/2[pgepubid00011]/250)","Enter Romeo."
"epubcfi(/6/12!/4/2[pgepubid00011]/252)","BENVOLIO.Here comes Romeo, here comes Romeo!"
"epubcfi(/6/12!/4/2[pgepubid00011]/254)","MERCUTIO.Without his roe, like a dried herring. O flesh, flesh, how art thou fishified!Now is he for the numbers that Petrarch flowed in. Laura, to his lady, was buta kitchen wench,—marry, she had a better love to berhyme her: Dido adowdy; Cleopatra a gypsy; Helen and Hero hildings and harlots; Thisbe a greyeye or so, but not to the purpose. Signior Romeo, bonjour! There’s aFrench salutation to your French slop. You gave us the counterfeit fairly lastnight."
"epubcfi(/6/12!/4/2[pgepubid00011]/256)","ROMEO.Good morrow to you both. What counterfeit did I give you?"
"epubcfi(/6/12!/4/2[pgepubid00011]/258)","MERCUTIO.The slip sir, the slip; can you not conceive?"
"epubcfi(/6/12!/4/2[pgepubid00011]/260)","ROMEO.Pardon, good Mercutio, my business was great, and in such a case as mine a manmay strain courtesy."
"epubcfi(/6/12!/4/2[pgepubid00011]/262)","MERCUTIO.That’s as much as to say, such a case as yours constrains a man to bow inthe hams."
"epubcfi(/6/12!/4/2[pgepubid00011]/264)","ROMEO.Meaning, to curtsy."
"epubcfi(/6/12!/4/2[pgepubid00011]/266)","MERCUTIO.Thou hast most kindly hit it."
"epubcfi(/6/12!/4/2[pgepubid00011]/268)","ROMEO.A most courteous exposition."
"epubcfi(/6/12!/4/2[pgepubid00011]/270)","MERCUTIO.Nay, I am the very pink of courtesy."
"epubcfi(/6/12!/4/2[pgepubid00011]/272)","ROMEO.Pink for flower."
"epubcfi(/6/12!/4/2[pgepubid00011]/274)","MERCUTIO.Right."
"epubcfi(/6/12!/4/2[pgepubid00011]/276)","ROMEO.Why, then is my pump well flowered."
"epubcfi(/6/12!/4/2[pgepubid00011]/278)","MERCUTIO.Sure wit, follow me this jest now, till thou hast worn out thy pump, that whenthe single sole of it is worn, the jest may remain after the wearing, solelysingular."
"epubcfi(/6/12!/4/2[pgepubid00011]/280)","ROMEO.O single-soled jest, solely singular for the singleness!"
"epubcfi(/6/12!/4/2[pgepubid00011]/282)","MERCUTIO.Come between us, good Benvolio; my wits faint."
"epubcfi(/6/12!/4/2[pgepubid00011]/284)","ROMEO.Swits and spurs, swits and spurs; or I’ll cry a match."
"epubcfi(/6/12!/4/2[pgepubid00011]/286)","MERCUTIO.Nay, if thy wits run the wild-goose chase, I am done. For thou hast more of thewild-goose in one of thy wits, than I am sure, I have in my whole five. Was Iwith you there for the goose?"
"epubcfi(/6/12!/4/2[pgepubid00011]/288)","ROMEO.Thou wast never with me for anything, when thou wast not there for the goose."
"epubcfi(/6/12!/4/2[pgepubid00011]/290)","MERCUTIO.I will bite thee by the ear for that jest."
"epubcfi(/6/12!/4/2[pgepubid00011]/292)","ROMEO.Nay, good goose, bite not."
"epubcfi(/6/12!/4/2[pgepubid00011]/294)","MERCUTIO.Thy wit is a very bitter sweeting, it is a most sharp sauce."
"epubcfi(/6/12!/4/2[pgepubid00011]/296)","ROMEO.And is it not then well served in to a sweet goose?"
"epubcfi(/6/12!/4/2[pgepubid00011]/298)","MERCUTIO.O here’s a wit of cheveril, that stretches from an inch narrow to an ellbroad."
"epubcfi(/6/12!/4/2[pgepubid00011]/300)","ROMEO.I stretch it out for that word broad, which added to the goose, proves thee farand wide a broad goose."
"epubcfi(/6/12!/4/2[pgepubid00011]/302)","MERCUTIO.Why, is not this better now than groaning for love? Now art thou sociable, nowart thou Romeo; now art thou what thou art, by art as well as by nature. Forthis drivelling love is like a great natural, that runs lolling up and down tohide his bauble in a hole."
"epubcfi(/6/12!/4/2[pgepubid00011]/304)","BENVOLIO.Stop there, stop there."
"epubcfi(/6/12!/4/2[pgepubid00011]/306)","MERCUTIO.Thou desirest me to stop in my tale against the hair."
"epubcfi(/6/12!/4/2[pgepubid00011]/308)","BENVOLIO.Thou wouldst else have made thy tale large."
"epubcfi(/6/12!/4/2[pgepubid00011]/310)","MERCUTIO.O, thou art deceived; I would have made it short, for I was come to the wholedepth of my tale, and meant indeed to occupy the argument no longer."
"epubcfi(/6/12!/4/2[pgepubid00011]/312)","Enter Nurse andPeter."
"epubcfi(/6/12!/4/2[pgepubid00011]/314)","ROMEO.Here’s goodly gear!A sail, a sail!"
"epubcfi(/6/12!/4/2[pgepubid00011]/316)","MERCUTIO.Two, two; a shirt and a smock."
"epubcfi(/6/12!/4/2[pgepubid00011]/318)","NURSE.Peter!"
"epubcfi(/6/12!/4/2[pgepubid00011]/320)","PETER.Anon."
"epubcfi(/6/12!/4/2[pgepubid00011]/322)","NURSE.My fan, Peter."
"epubcfi(/6/12!/4/2[pgepubid00011]/324)","MERCUTIO.Good Peter, to hide her face; for her fan’s the fairer face."
"epubcfi(/6/12!/4/2[pgepubid00011]/326)","NURSE.God ye good morrow, gentlemen."
"epubcfi(/6/12!/4/2[pgepubid00011]/328)","MERCUTIO.God ye good-den, fair gentlewoman."
"epubcfi(/6/12!/4/2[pgepubid00011]/330)","NURSE.Is it good-den?"
"epubcfi(/6/12!/4/2[pgepubid00011]/332)","MERCUTIO.’Tis no less, I tell ye; for the bawdy hand of the dial is now upon theprick of noon."
"epubcfi(/6/12!/4/2[pgepubid00011]/334)","NURSE.Out upon you! What a man are you?"
"epubcfi(/6/12!/4/2[pgepubid00011]/336)","ROMEO.One, gentlewoman, that God hath made for himself to mar."
"epubcfi(/6/12!/4/2[pgepubid00011]/338)","NURSE.By my troth, it is well said; for himself to mar, quoth a? Gentlemen, can anyof you tell me where I may find the young Romeo?"
"epubcfi(/6/12!/4/2[pgepubid00011]/340)","ROMEO.I can tell you: but young Romeo will be older when you have found him than hewas when you sought him. I am the youngest of that name, for fault of a worse."
"epubcfi(/6/12!/4/2[pgepubid00011]/342)","NURSE.You say well."
"epubcfi(/6/12!/4/2[pgepubid00011]/344)","MERCUTIO.Yea, is the worst well? Very well took, i’faith; wisely, wisely."
"epubcfi(/6/12!/4/2[pgepubid00011]/346)","NURSE.If you be he, sir, I desire some confidence with you."
"epubcfi(/6/12!/4/2[pgepubid00011]/348)","BENVOLIO.She will endite him to some supper."
"epubcfi(/6/12!/4/2[pgepubid00011]/350)","MERCUTIO.A bawd, a bawd, a bawd! So ho!"
"epubcfi(/6/12!/4/2[pgepubid00011]/352)","ROMEO.What hast thou found?"
"epubcfi(/6/12!/4/2[pgepubid00011]/354)","MERCUTIO.No hare, sir; unless a hare, sir, in a lenten pie, that is something staleand hoar ere it be spent.[Sings.]    An old hare hoar,    And an old hare hoar,  Is very good meat in Lent;    But a hare that is hoar    Is too much for a score  When it hoars ere it be spent.Romeo, will you come to your father’s? We’ll to dinner thither."
"epubcfi(/6/12!/4/2[pgepubid00011]/356)","ROMEO.I will follow you."
